3613 00028 1|H|329.32453603|+50.48923372|    2.0|   -0.6| 29.0| 22.4|  0.9|  0.8|H|      |     |10.881|0.106|  9|T|108374B
3617 02019 1|H|331.28082048|+51.70062766|  -10.0|  -35.6| 27.6| 26.3|  0.6|  0.6|H|      |     |11.245|0.103|  9|T|109015B
3700 01569 1|H|040.09116786|+52.80415875|   15.3|  -12.2| 14.0| 11.8|  0.9|  1.0|H|      |     |10.885|0.061|  9|T| 12454B
3716 00493 1|H|055.26203297|+54.00140112|   -0.5|   -3.1| 35.6| 27.9|  2.1|  2.1|H|      |     |12.297|0.154| 10|T| 17200B
3805 00739 1|H|135.07868345|+53.33118646|   34.5|    0.0| 34.0| 22.8|  1.5|  1.0|H|      |     |11.684|0.109| 10|T| 44209B
3841 00296 1|H|188.22875106|+54.79551722|  -42.5|  -12.1|  8.3|  7.8|  1.6|  1.5|H|      |     |10.160|0.042|  8|T| 61237B
3882 00779 1|H|250.50406436|+57.18496376|   19.0|   22.2| 18.0| 18.2|  1.1|  1.1|H|      |     |11.302|0.060|  9|T| 81761B
3971 00045 1|H|324.39418230|+55.76370341|   -4.4|  -16.8| 10.3| 10.7|  1.1|  1.2|H|      |     |11.654|0.047| 10|T|106762B
3977 00121 1|H|332.33824225|+58.06215840|    3.5|    0.6| 17.7| 15.8|  1.2|  1.1|H|      |     |12.202|0.084| 10|T|109358B
3997 00818 1|H|346.30438869|+58.24153078|   -3.1|   -2.5| 13.5| 12.4|  1.2|  1.0|H|      |     |11.162|0.057|  9|T|113999B
4008 00751 1|H|354.47425544|+58.09562201|    5.5|   -3.9|  7.0|  6.8|  1.4|  1.3|H|      |     |10.554|0.023|  9|T|116610B
4029 00346 1|H|013.52564144|+66.43542662|   58.9|    7.4| 32.7| 33.5|  0.7|  0.7|H|      |     |11.095|0.111|  9|T|  4239B
4034 00055 1|H|019.59610236|+63.54501250|   -5.3|    9.7| 37.2| 34.7|  1.1|  1.1|H|      |     |11.935|0.131| 10|T|  6105B
4037 01243 1|H|030.54810629|+62.84183863|   -0.7|    0.6| 10.9| 17.3|  1.4|  1.6|H|      |     |11.732|0.054|  8|T|  9498B
4063 00945 1|H|055.97895779|+60.41111528|  146.2| -190.5| 22.8| 22.6|  3.2|  3.3|H|      |     |12.701|0.110| 10|T| 17418B
4260 00722 1|H|319.61492539|+66.22418149|  152.7|  213.2| 12.0| 11.5|  3.0|  2.6|H|      |     |12.436|0.033|  9|T|105187B
4267 01699 1|H|330.16320438|+62.48760208|   -1.7|   -2.9| 12.4| 10.3|  0.6|  0.5|H|      |     |10.017|0.056| 10|T|108650B
4283 00978 1|H|347.74644627|+62.84979926|   14.1|    6.8| 12.4| 11.0|  1.4|  1.5|H|      |     |11.637|0.044|  9|T|114473B
4356 01008 1|H|085.75268079|+73.98598006|   -8.1|   11.6| 10.6| 13.1|  0.5|  0.6|H|      |     |10.432|0.052|  9|T| 26940B
4425 00567 1|H|247.86806863|+72.61193697|  -36.9|   55.7| 23.5| 28.2|  0.6|  0.6|H|      |     |10.350|0.116| 10|T| 80920B
4438 01820 1|H|277.93547689|+71.33909569|   -6.7|    2.8| 30.2| 22.9|  2.0|  1.9|H|      |     |12.252|0.097| 10|T| 90829B
4450 00354 1|H|301.22026184|+69.42714299|  -19.1|  -37.2| 20.2| 23.3|  1.6|  1.7|H|      |     |12.765|0.077|  8|T| 98888B
4468 01272 1|H|316.94531516|+71.38156079|   11.7|   15.4| 40.8| 40.5|  1.5|  1.1|H|      |     |12.257|0.199|  9|T|104302B
4482 01021 1|H|349.68785115|+70.42200632|  -19.7|   -6.2| 15.5| 16.4|  1.5|  1.5|H|      |     |11.653|0.079| 10|T|115097B
4524 00499 1|H|085.02510871|+76.76689894|  -12.0|  -67.9| 32.1| 38.9|  0.9|  1.1|H|      |     |11.995|0.142|  9|T| 26673B
4535 00218 1|H|111.74737391|+79.01154664|    4.9|   -9.6| 10.1|  9.2|  1.9|  2.1|H|      |     |11.780|0.032|  9|T| 36166B
4540 00670 1|H|128.37664778|+77.45969377|  -13.6|  -23.6| 19.0| 21.1|  1.0|  1.0|H|      |     |12.083|0.077|  8|T| 41988B
4567 00533 1|H|247.03806415|+76.23333751|    3.9|  -16.8| 12.2| 14.7|  0.8|  0.9|H|      |     |11.249|0.055|  9|T| 80666B
4654 00497 1|H|355.15565141|+84.81416033|    2.0|   -3.7| 13.9| 12.4|  1.9|  1.4|H|      |     |12.229|0.056| 11|T|116818B
